Name,Brand,Price,Discounted Price,Category,SuubCategory,Quantity,Description,BreadCrumbs
D'lecta Frozen Shredded Mozzarella Cheese,D'lecta,105,84,Dairy & Beverages,Dairy,140 gm,"IngredientsPasteurized Milk, Pasteurized Skimmed Milk, Iodized Salt, Stabilizer (INS 509), Microbial Cultures and Microbial Rennet.Other must know InformationContains No Added Flavours, Added Colours Or Preservatives Conditions.Storage InstructionsBest Before Nine Months From Packaging When Transported & Stored Frozen At Or Below 18 Degree Celsius Under Hygienic",Dairy & Beverages > Dairy
Gowardhan Processed Cheese Angles Plain,Gowardhan Go,100,80,Dairy & Beverages,Dairy,160 gm,"OverviewGo Cheese Angles can be grated, sliced or eaten as it is. It has smooth texture and firm consistency. It is easy to shared.How To UseIt can be added to omelettes, pizza, soufflés, au gratins, fondues, etc.Care InstructionsUnder 4 degree CelsiusAbout the BrandParag Milk Foods Ltd, established in 1992, is one of India's most prestigious private sector dairy companies, with a wide portfolio spanning over 15 consumer-focused product categories. They take pride in being the best global source of expertise and scientific information for the creation and marketing of high-quality cow's milk and milk products that provide nutrition, health, and well-being to customers. ",Dairy & Beverages > Dairy
D'lecta Natural Cheddar Cheese Slices,D'lecta,199,159,Dairy & Beverages,Dairy,200 gm,"OverviewD'lecta Natural Cheddar cheese slices are made from cow milk and carry the heritage of the traditional English Cheddar. Cheddar is the world's second largest volume cheese & finds use in multiple cuisines. Its sharp taste works well in baked dishes, grilled sandwiches, pizzas, salads, dips & sauces.Key FeaturesEasy to use slicesAged young to mediumGreat table cheeseNo added flavourNo preservativesIngredientsPasteurised Cow Milk & Skimmed Milk, Stabiliser(Calcium Chloride), Microbial Culture & Microbial Rennet).Nutritional InfoNutrition Information (Per 100 g*)Energy 388 kcalFat 32 gProtein 24 gCarbohydrate 1 gSugar 0.0 g* Approx. value # Sucrose. Total trans fat content not more than 1.30 percent by weight. Total saturated fat content not more than 21.00 percent.ApplicationsSandwiches, Finger foods, cheese dips & sauces.Italian & continental cooking.Direct consumption.Storage conditionStore frozen at or below 0-4°C.Shelf lifeBest before 9 months from manufacturing date.About the BrandD'lecta, headquartered in Mumbai, is committed to helping farmers find a market for their produce. They started their operations with milk based products which continue to dominate their product portfolio.",Dairy & Beverages > Dairy
Wagh Bakri Shudh Kahwa Green Tea,Wagh Bakri,225,180,Dairy & Beverages,Beverages,25 Bags,"Key Features- The antioxidants (flavonoids) may help to reduce the harmful effects of stress and pollution on your body.- Stringent quality standards for consistent quality, colour, taste, and aroma.How to Use- Place tea bag in the cup. Add hot water over it. Allow to infuse for 2 -3 mins. Your Shudh Kahwa Tea is ready.",Dairy & Beverages > Beverages
Organic Tulsi Ginger Turmeric,Organic,168,135,Dairy & Beverages,Beverages,25 Bags,"Overview Organic India Tulsi Ginger Turmeric Tea Bags, Stress Relieving & Harmonizing Tulsi Ginger Turmeric tea bags. Turmeric's qualities to support the liver & the body's natural inflammatory response while building immunity complement Tulsi's health-enhancing properties beautifully! Blended with ginger & cinnamon, it's a delicious drink to savour & enjoy.  Key Features- Caffeine Free.- 100% Organic Certified.- Staple free tea bags.- The infusion bags are made from unbleached, biodegradable fibre.  Benefits- Organic India Tulsi Ginger Turmeric 25 Tea Bags Combines benefits of Tulsi, Ginger and Turmeric- Stress Relieving- Helps prevent and ease cold, cough and Inflammation- Improves digestion, expels gas- Supports healthy liver functioning/ hepatoprotective- Only certified organic herbs used produced by sustainable agriculture- Tested for heavy metals, meeting international standards.  Direction Of Use- Put one infusion bag in a cup.- Pour just 4 boiled water in a cup.- Keep the infusion bag in the cup for 3-5 mins.- Add natural sweetener if desired.- For Maximum health benefits, drink Tulsi Tea two or three times daily or as much as you like! Double the strength (use 2 infusion bags/cup) when serving iced.- Best when consumed without milk.",Dairy & Beverages > Beverages
Tea Culture Of The World Soothing Chamomile Exotic Tea,Tea Culture Of The World,299,210,Dairy & Beverages,Beverages,20 Bag,"Key Features- The Infusion : Mild and Herbal - The Aroma: Fresh and Herbal- Appearance: Pale Green- Taste: Fresh, Mild and HerbalHow to UseTear Open the sachet, Steep the tea bag in hot water (80&deg;C) for 3 minutes and sip it up. You can add honey or sugar for sweetness as required.Benefits 1. Chamomile is known to aid restful sleep and may also relieve stress and anxiety.2. Antioxidants in green tea may protect against chronic diseases such as cancer and heart diseases.Care InstructionsStore in room temperature, Do not keep under sunlight.About the BrandThey started the journey in 2010 and today Tea Culture Of The World delights tea connoisseurs across India and the world with its signature blends of over 80 exquisite herbal and flavoured teas. Each is an experience unto itself.To make handcrafted whole leaf teas they started by first handpicking the tea estates. They plucked from places as far and wide as Japan, China, Vietnam, South Africa, Argentina, and of course, India. Fruits and herbs, from Europe. Flowers, from Egypt.When each blend is an invitation from the Founder to indulge in an experience that will linger for long, nothing less will do.",Dairy & Beverages > Beverages
Tea Culture Of The World Moroccan Mint Exotic Tea,Tea Culture Of The World,249,175,Dairy & Beverages,Beverages,20 Bag,"Key Features- The Infusion : Smooth and Minty- Aroma: Fresh and Minty - Appearance: Vibrant Green- Taste: Refreshing and subtly sweet.How to UseTear open the sachet, steep the tea bag in hot water (80&deg;C) for 3 minutes and sip it up. You can add honey or sugar for sweetness as required.Benefits 1. May help relieve heartburn and stomach ailments.2. Antioxidants in peppermint may promote healthy skin.3. Antioxidants in green tea may protect against chronic diseases such as cancer and heart diseases.Care InstructionsStore in room temperature, Do not keep under sunlight.About the BrandThey started the journey in 2010 and today Tea Culture Of The World delights tea connoisseurs across India and the world with its signature blends of over 80 exquisite herbal and flavoured teas. Each is an experience unto itself.To make handcrafted whole leaf teas they started by first handpicking the tea estates. They plucked from places as far and wide as Japan, China, Vietnam, South Africa, Argentina, and of course, India. Fruits and herbs, from Europe. Flowers, from Egypt.When each blend is an invitation from the Founder to indulge in an experience that will linger for long, nothing less will do.",Dairy & Beverages > Beverages
Tea Culture Of The World Flowery Bouquet Exotic Tea,Tea Culture Of World,249,175,Dairy & Beverages,Beverages,20 Bag,"Key Features- The Infusion : Delicate and Sweet- Aroma: Floral and Heady- Appearance: Rose- Taste: Sweet, Delicate and Floral.How to UseTear Open the sachet, Steep the tea bag in hot water (80&deg;C) for 3 minutes and sip it up. You can add honey or sugar for sweetness as required.Benefits Vitamins and minerals in the roots and flowers combine with powerful green tea antioxidants, to give you a rich, flavourful and healthy brew.Care InstructionsStore in room temperature, Do not keep under sunlight.About the BrandThey started the journey in 2010 and today Tea Culture Of The World delights tea connoisseurs across India and the world with its signature blends of over 80 exquisite herbal and flavoured teas. Each is an experience unto itself.To make handcrafted whole leaf teas they started by first handpicking the tea estates. They plucked from places as far and wide as Japan, China, Vietnam, South Africa, Argentina, and of course, India. Fruits and herbs, from Europe. Flowers, from Egypt.When each blend is an invitation from the Founder to indulge in an experience that will linger for long, nothing less will do.",Dairy & Beverages > Beverages
Tea Culture Of The World Kashmiri Kahwa Exotic Tea,Tea Culture Of The World,349,245,Dairy & Beverages,Beverages,20 Bag,"Key Features- The Infusion : Rich and Spicy- Aroma : Intense and Spicy- Appearance : Golden- The Taste: Well-balanced, Flavourful, with notes of cardamom and saffron.How to UseTear open the sachet, steep the tea bag in hot water (80&deg;C) for 3 minutes and sip it up. You can add honey or sugar for sweetness as required.Benefits1. Cardamom may help in regulating blood pressure.2. Cinnamon may help in reducing cholesterol levels.3. Antioxidants in green tea may protect against chronic diseases such as cancer and heart diseases.Care InstructionsStore in room temperature, Do not keep under sunlight.About the BrandThey started the journey in 2010 and today Tea Culture Of The World delights tea connoisseurs across India and the world with its signature blends of over 80 exquisite herbal and flavoured teas. Each is an experience unto itself.To make handcrafted whole leaf teas they started by first handpicking the tea estates. They plucked from places as far and wide as Japan, China, Vietnam, South Africa, Argentina, and of course, India. Fruits and herbs, from Europe. Flowers, from Egypt.When each blend is an invitation from the Founder to indulge in an experience that will linger for long, nothing less will do.",Dairy & Beverages > Beverages
Tea Culture Of The World Tulsi Ritual Exotic Tea,Tea Culture Of The World,249,175,Dairy & Beverages,Beverages,20 Bag,"Key Features- The Infusion : Fresh and Herbal- Aroma: Herbal - Appearance: Pale Green - Taste: Mild and HerbalHow to UseTear open the sachet, steep the tea bag in hot water (80&deg;C) for 3 minutes and sip it up. You can add honey or sugar for sweetness as required.Benefits Tulsi green tea helps in weight loss, enhances stamina, and invigorates &ndash; a host of health benefits in a teacup.Care InstructionsStore in room temperature, Do not keep under sunlight.About the BrandThey started the journey in 2010 and today Tea Culture Of The World delights tea connoisseurs across India and the world with its signature blends of over 80 exquisite herbal and flavoured teas. Each is an experience unto itself.To make handcrafted whole leaf teas they started by first handpicking the tea estates. They plucked from places as far and wide as Japan, China, Vietnam, South Africa, Argentina, and of course, India. Fruits and herbs, from Europe. Flowers, from Egypt.When each blend is an invitation from the Founder to indulge in an experience that will linger for long, nothing less will do.",Dairy & Beverages > Beverages
Britannia Diced Pizza Cheese Blend,Britannia,150,125,Dairy & Beverages,Dairy,200 gm,"Overview- Britannia Diced Pizza Cheese Blend brings to you a perfect blend of mozzarella cheese and cheddar cheese- This diced cheese is commonly used in starters and sides- Mozzarella is the most popular cheese option for a pizza and the cheddar cheese blends well with it- It is packed with calcium and minerals that are essential for the body- It has the most important nutrients for promoting bone health- It is perfect for any pizza making it flavourful and oh so gooey.Key Features- Used in a wide range of dishes- Rich in proteins, calcium and minerals.How to Use- This diced cheese is amazing for pizzas- It can also be used in sandwiches and toasts at home- Cut it into small cheesy chunks, melt it for a perfect cheese pull or grate it as a topping.IngredientsMozzarella Cheese- 70% (Milk Solids, Iodised Salt, Active Cultures & Microbial Enzyme) And Cheddar Cheese- 30% (Milk Solids, Iodised Salt, Active Cultures & Microbial Enzyme)Care Instructions- When stored refrigerated, it can be enjoyed for as long as nine months.",Dairy & Beverages > Dairy
Britannia Diced Pizza Cheese Blend,Britannia,350,295,Dairy & Beverages,Dairy,500 gm,"Overview- Britannia Diced Pizza Cheese Blend brings to you a perfect blend of mozzarella cheese and cheddar cheese- This diced cheese is commonly used in starters and sides- Mozzarella is the most popular cheese option for a pizza and the cheddar cheese blends well with it- It is packed with calcium and minerals that are essential for the body- It has the most important nutrients for promoting bone health- It is perfect for any pizza making it flavourful and oh so gooey.Key Features- Used in a wide range of dishes- Rich in proteins, calcium and minerals.How to Use- This diced cheese is amazing for pizzas- It can also be used in sandwiches and toasts at home- Cut it into small cheesy chunks, melt it for a perfect cheese pull or grate it as a topping.IngredientsMozzarella Cheese- 70% (Milk Solids, Iodised Salt, Active Cultures & Microbial Enzyme) And Cheddar Cheese- 30% (Milk Solids, Iodised Salt, Active Cultures & Microbial Enzyme)Care Instructions- When stored refrigerated, it can be enjoyed for as long as nine months.",Dairy & Beverages > Dairy
Bru Instant Coffee Pouch,Bru,90,83,Dairy & Beverages,Beverages,50 gm,"
Made from a fine blend of choicest plantations and robust beans, BRU Instant coffee offers a rich coffee taste. Our strong processes ensure that the fresh coffee aroma is preserved so that you get the best coffee experience, instantly. Who needs a coffee machine!
",Dairy & Beverages > Beverages
Bru Instant Coffee Pouch,Bru,380,299,Dairy & Beverages,Beverages,200 gm,"
Made from a fine blend of choicest plantations and robust beans, BRU Instant coffee offers a rich coffee taste. Our strong processes ensure that the fresh coffee aroma is preserved so that you get the best coffee experience, instantly. Who needs a coffee machine!
",Dairy & Beverages > Beverages
Nescafé Classic Coffee,Nescafe,160,135,Dairy & Beverages,Beverages,50 gm,"
100% pure natural coffee beans go into making every granule of Nescafé Classic. With the new world class ERA technology, you get richer aroma and an unmatched coffee experience to stimulate your senses every morning with your favourite Nescafé. The Coffee is 100% natural and contains antioxidants which helps in fighting free radicals.
So grab your favourite Nescafé Classic and kick start your day the Nescafé way!
",Dairy & Beverages > Beverages
Nescafé Classic Coffee,Nescafe,600,555,Dairy & Beverages,Beverages,200 gm,"
100% pure natural coffee beans go into making every granule of Nescafé Classic. With the new world class ERA technology, you get richer aroma and an unmatched coffee experience to stimulate your senses every morning with your favourite Nescafé. The Coffee is 100% natural and contains antioxidants which helps in fighting free radicals.
So grab your favourite Nescafé Classic and kick start your day the Nescafé way!
",Dairy & Beverages > Beverages
Nescafé Classic Coffee,Nescafe,1320,1220,Dairy & Beverages,Beverages,500 gm,"
100% pure natural coffee beans go into making every granule of Nescafé Classic. With the new world class ERA technology, you get richer aroma and an unmatched coffee experience to stimulate your senses every morning with your favourite Nescafé. The Coffee is 100% natural and contains antioxidants which helps in fighting free radicals.
So grab your favourite Nescafé Classic and kick start your day the Nescafé way!
",Dairy & Beverages > Beverages
Le Café 100% Pure Instant Coffee,Le Cafe,108,54,Dairy & Beverages,Beverages,50 gm,"OverviewLe Cafe Coffee is extracted from carefully selected Robusta & Arabica beans from the plantations of Tata Coffee. Each bean is carefully selected & roasted to perfection in the state of the art factories of Tata Coffee resulting in a great aroma & captivating coffee taste.IngredientsCoffee BeansStorage InstructionsStore in a Cool, Dry & Hygienic Place.",Dairy & Beverages > Beverages
Nestlé Everyday Dairy Whitener,Nestle,113,105,Dairy & Beverages,Dairy,200 gm,"OverviewNestle Everyday is a dairy whitener also called dried milk powder that gives you a tastier and thicker cup of tea every time. Nestle Everyday is tea&rsquo;s best partner, it completely mixes into your tea that lifts your spirits and enlightens your day.Key Features- Tea-enhancing milk powder that completely dissolves in tea to enhance its flavour. - Get rich and delicious tea every time with Everyday Powder. - Comes with added sugar to make the perfect cup of tea.IngredientsMilk Solids, Sugar, Maltodextrin, and Stabilizer 339.How to UseAdd 1 tbsp. of Nestle Everyday to 100 ml of water and tea leaves for the perfect cup of tea.Storage InstructionsAfter opening, transfer the contents into an airtight container to avoid lumping. Store in a cool, dry and hygienic placeAbout the BrandNestle are the Good food, Good Life Company. They believe in the power of food to enhance lives. Good food nourishes and delights the senses. It helps children grow healthy, pets thrive, parents age gracefully and everyone lives life to the fullest. Good food brings us together. Good food also respects our planet and protects resources for future generations. At Nestl&eacute;, they constantly explore and push the boundaries of what is possible with foods, beverages, and nutritional health solutions to enhance the quality of life and contribute to a healthier future. They focus our energy and resources where unlocking the power of food can make the greatest difference to the lives of people and pets, protect and enhance the environment, and generate significant value for our shareholders and stakeholders alike.",Dairy & Beverages > Dairy
Nestlé Everyday Dairy Whitener,Nestle,218,198,Dairy & Beverages,Dairy,400 gm,"OverviewNestle Everyday is a dairy whitener also called dried milk powder that gives you a tastier and thicker cup of tea every time. Nestle Everyday is tea&rsquo;s best partner, it completely mixes into your tea that lifts your spirits and enlightens your day.Key Features- Tea-enhancing milk powder that completely dissolves in tea to enhance its flavour. - Get rich and delicious tea every time with Everyday Powder. - Comes with added sugar to make the perfect cup of tea.IngredientsMilk Solids, Sugar, Maltodextrin, and Stabilizer 339.How to UseAdd 1 tbsp. of Nestle Everyday to 100 ml of water and tea leaves for the perfect cup of tea.Storage InstructionsAfter opening, transfer the contents into an airtight container to avoid lumping. Store in a cool, dry and hygienic placeAbout the BrandNestle are the Good food, Good Life Company. They believe in the power of food to enhance lives. Good food nourishes and delights the senses. It helps children grow healthy, pets thrive, parents age gracefully and everyone lives life to the fullest. Good food brings us together. Good food also respects our planet and protects resources for future generations. At Nestl&eacute;, they constantly explore and push the boundaries of what is possible with foods, beverages, and nutritional health solutions to enhance the quality of life and contribute to a healthier future. They focus our energy and resources where unlocking the power of food can make the greatest difference to the lives of people and pets, protect and enhance the environment, and generate significant value for our shareholders and stakeholders alike.",Dairy & Beverages > Dairy
Nestlé Everyday Dairy Whitener,Nestle,535,474,Dairy & Beverages,Dairy,1 kg,"OverviewNestle Everyday is a dairy whitener also called dried milk powder that gives you a tastier and thicker cup of tea every time. Nestle Everyday is tea&rsquo;s best partner, it completely mixes into your tea that lifts your spirits and enlightens your day.Key Features- Tea-enhancing milk powder that completely dissolves in tea to enhance its flavour. - Get rich and delicious tea every time with Everyday Powder. - Comes with added sugar to make the perfect cup of tea.IngredientsMilk Solids, Sugar, Maltodextrin, and Stabilizer 339.How to UseAdd 1 tbsp. of Nestle Everyday to 100 ml of water and tea leaves for the perfect cup of tea.Storage InstructionsAfter opening, transfer the contents into an airtight container to avoid lumping. Store in a cool, dry and hygienic placeAbout the BrandNestle are the Good food, Good Life Company. They believe in the power of food to enhance lives. Good food nourishes and delights the senses. It helps children grow healthy, pets thrive, parents age gracefully and everyone lives life to the fullest. Good food brings us together. Good food also respects our planet and protects resources for future generations. At Nestl&eacute;, they constantly explore and push the boundaries of what is possible with foods, beverages, and nutritional health solutions to enhance the quality of life and contribute to a healthier future. They focus our energy and resources where unlocking the power of food can make the greatest difference to the lives of people and pets, protect and enhance the environment, and generate significant value for our shareholders and stakeholders alike.",Dairy & Beverages > Dairy
Gowardhan Paneer Classic Block,Gowardhan,98,83,Dairy & Beverages,Dairy,200 gm,India,Dairy & Beverages > Dairy
Gowardhan Paneer Classic Block,Gowardhan,225,180,Dairy & Beverages,Dairy,500 gm,India,Dairy & Beverages > Dairy
Amul Masti Spiced Buttermilk,Amul,14,13,Dairy & Beverages,Dairy,180 ml,"
Replace your soup with Amul Buttermilk, it will give you dieting benefits. Take a glass full in early morning in place of Tea, Amul Buttermilk will improve the digestive function.
- Amul Masti Butter Milk is produced in very hygienic and clean atmosphere
- Scientific bacterial culture in Amul Buttermilk improves digestion
- Buttermilk is traditionally known as ""Chhash"" (Gujarat & MP), ""Mattha"" (UP & Delhi), ""Tak"" (Maharastra), ""Ghol"" (Bengal)",Dairy & Beverages > Dairy
Amul Masti Spiced Buttermilk,Amul,50,50,Dairy & Beverages,Dairy,1 L,"
Replace your soup with Amul Buttermilk, it will give you dieting benefits. Take a glass full in early morning in place of Tea, Amul Buttermilk will improve the digestive function.
- Amul Masti Butter Milk is produced in very hygienic and clean atmosphere
- Scientific bacterial culture in Amul Buttermilk improves digestion
- Buttermilk is traditionally known as ""Chhash"" (Gujarat & MP), ""Mattha"" (UP & Delhi), ""Tak"" (Maharastra), ""Ghol"" (Bengal)",Dairy & Beverages > Dairy
Nescafé Sunrise Coffee,Nescafe,95,85,Dairy & Beverages,Beverages,50 gm,"
Awaken your senses with the magical Taste of NESCAFÉ SUNRISE. Great mornings begin with NESCAFÉ Sunrise.

A Fine blend of coffee and chicory, expertly granulated to capture the rich aroma inside every AROMA GRANULE to give a captivating coffee experience that would leave you asking for more.
",Dairy & Beverages > Beverages
Nescafé Sunrise Coffee,Nescafe,380,342,Dairy & Beverages,Beverages,200 gm,"
Awaken your senses with the magical Taste of NESCAFÉ SUNRISE. Great mornings begin with NESCAFÉ Sunrise.

A Fine blend of coffee and chicory, expertly granulated to capture the rich aroma inside every AROMA GRANULE to give a captivating coffee experience that would leave you asking for more.
",Dairy & Beverages > Beverages
Amul Fresh Paneer,Amul,362,330,Dairy & Beverages,Dairy,2x500 gm,"OverviewAmul Fresh Paneer is made from pure milk, hygenically packed untouched by hand. It adheres to FSSAI norms. Amul fresh paneer is a rich source of protein.IngredientsMilk Solids, Citric acid",Dairy & Beverages > Dairy
Amul Fresh Paneer,Amul,80,70,Dairy & Beverages,Dairy,200 gm,"OverviewAmul Fresh Paneer is made from pure milk, hygenically packed untouched by hand. It adheres to FSSAI norms. Amul fresh paneer is a rich source of protein.IngredientsMilk Solids, Citric acid",Dairy & Beverages > Dairy
Nescafé Classic Coffee Jar,Nescafe,330,275,Dairy & Beverages,Beverages,95 gm,"
100% pure natural coffee beans go into making every granule of Nescafé Classic. With the new world class ERA technology, you get richer aroma and an unmatched coffee experience to stimulate your senses every morning with your favourite Nescafé. The Coffee is 100% natural and contains antioxidants which helps in fighting free radicals.
So grab your favourite Nescafé Classic and kick start your day the Nescafé way!
",Dairy & Beverages > Beverages
Nescafé Classic Coffee Jar,Nescafe,170,155,Dairy & Beverages,Beverages,48 gm,"
100% pure natural coffee beans go into making every granule of Nescafé Classic. With the new world class ERA technology, you get richer aroma and an unmatched coffee experience to stimulate your senses every morning with your favourite Nescafé. The Coffee is 100% natural and contains antioxidants which helps in fighting free radicals.
So grab your favourite Nescafé Classic and kick start your day the Nescafé way!
",Dairy & Beverages > Beverages
Nescafé Classic Coffee Jar,Nescafe,80,74,Dairy & Beverages,Beverages,25 gm,"
100% pure natural coffee beans go into making every granule of Nescafé Classic. With the new world class ERA technology, you get richer aroma and an unmatched coffee experience to stimulate your senses every morning with your favourite Nescafé. The Coffee is 100% natural and contains antioxidants which helps in fighting free radicals.
So grab your favourite Nescafé Classic and kick start your day the Nescafé way!
",Dairy & Beverages > Beverages
Amul Fresh Cream,Amul,65,61,Dairy & Beverages,Dairy,250 ml,"
Amul Fresh Cream makes for mouthwatering preparations.
- It is sterilized at high temperature and packed aseptically to give safe, rich cream which stays fresh until opened.
- Is made of fresh and pure milk cream.
",Dairy & Beverages > Dairy
Amul Fresh Cream,Amul,205,193,Dairy & Beverages,Dairy,1 L,"
Amul Fresh Cream makes for mouthwatering preparations.
- It is sterilized at high temperature and packed aseptically to give safe, rich cream which stays fresh until opened.
- Is made of fresh and pure milk cream.
",Dairy & Beverages > Dairy
Yakult Probiotic Health Drink,Yakult,80,80,Dairy & Beverages,Dairy,5x65 ml,"
Yakult is world’s No. 1 probiotic fermented milk drink that contains over 6.5 billion beneficial bacteria Lactobacillus casei strain Shirota (LcS) in every bottle. Yakult bacteria Lactobacillus casei strain Shirota (LcS) reaches the intestine alive and helps improve digestion and builds immunity. Yakult is sold globally and over 40 million people enjoy the delicious taste of Yakult.

Usage & Other Details :
- Recommended : Anyone above the age of 1 year
- Consumption Time : Anytime 
- Limit : Safe to consume 1 to 2 bottles per day
- Storage : Below 10 degree Celsius
- Shelf Life : 40 days from the date of manufacture
- Fat : Less than 0.1g
- Gluten Free : Yes
- Artificial Flavour : No
- Preservatives : No
- Side Effects : No

Benefits :
- Prevents digestive disorders such as diarrhea and constipation
- Help build immunity and reduce risk of infections
- Improves bowel movement and digestion
- Maintains balance between good and bad bacteria
- Reduces toxins in our body
",Dairy & Beverages > Dairy
House Instant Coffee,House Coffee,85,42,Dairy & Beverages,Beverages,50 gm,"Overview""House Coffee"" is extracted from carefully selected Robusta & Arabica beans from the plantations of Tata Coffee. Each bean is carefully selected & roasted to perfection in state of the art factories of Tata Coffee resulting in a great aroma & captivating coffee taste.IngredientsCoffee, ChicoryHow to UseAdd the required amount to milk and stir.Storage InstructionsOnce opened, store in an airtight container away from direct heat and sunlight.",Dairy & Beverages > Beverages
Amul Mithai Mate Sweetened Condensed Milk,Amul,116,107,Dairy & Beverages,Dairy,400 gm,"
- Made of Pure Milk fat
- Available in very convenient, easy to open pack.
- Can be used to make several milk based desert in minutes
- Can be used to prepare:Gajar ka Halwa, Kheer, Narial ke laddoo, Rasmalai, Icecream, Chocolate, Baked Products, Pies, Sauces, Cakes, Candies, Toppings and Caramel etc.
",Dairy & Beverages > Dairy
Nestlé Milkmaid,Nestle,139,124,Dairy & Beverages,Dairy,380 gm,"
NESTLÉ Milkmaid a name synonymous with delicious desserts has been delighting generations of Indian consumers over the past 100 years.
Its convenient format and versatile nature allows you to prepare a plethora of traditional as well as contemporary desserts.
So delight your family with a different dessert each time!
",Dairy & Beverages > Dairy
Nescafe Gold Blend Coffee Jar,Nescafe,495,425,Dairy & Beverages,Beverages,100 gm,"  OverviewDiscover Nescafe's signature rich and smooth instant coffee. Coffee connoisseurs will appreciate the well-rounded taste and rich aroma in every cup. The expertly crafted blend is great for all coffee drinking occasions, whenever you want to make a moment special. So why not relax, enjoy the moment and savour the distinctive taste of NESCAFÉ GOLD BLEND.The Arabica and Robusta coffee beans in NESCAFÉ GOLD BLEND recipe have been carefully selected, then roasted to bring out their natural flavour. The result is a delicious coffee that helps make everyday moments extraordinary.Key FeaturesWith Arabica ground10 times finerRich and smoothApplicationPrepare with boiling milk or water. Add sugar to taste.IngredientsBlend of Robusta and Arabica Coffee Beans.StorageStore the product in a cool, dry and hygienic place. To ensure lasting freshness, close the lid tightly after every use. Always use a dry spoon.Storage ConditionStore in a cool and dry place.About the brandOne of the worlds most loved brands, NESCAFE has been making one of the worlds most loved beverages, Coffee, for over six decades. ",Dairy & Beverages > Beverages
Nescafe Gold Blend Coffee Jar,Nescafe,295,249,Dairy & Beverages,Beverages,50 gm,"  OverviewDiscover Nescafe's signature rich and smooth instant coffee. Coffee connoisseurs will appreciate the well-rounded taste and rich aroma in every cup. The expertly crafted blend is great for all coffee drinking occasions, whenever you want to make a moment special. So why not relax, enjoy the moment and savour the distinctive taste of NESCAFÉ GOLD BLEND.The Arabica and Robusta coffee beans in NESCAFÉ GOLD BLEND recipe have been carefully selected, then roasted to bring out their natural flavour. The result is a delicious coffee that helps make everyday moments extraordinary.Key FeaturesWith Arabica ground10 times finerRich and smoothApplicationPrepare with boiling milk or water. Add sugar to taste.IngredientsBlend of Robusta and Arabica Coffee Beans.StorageStore the product in a cool, dry and hygienic place. To ensure lasting freshness, close the lid tightly after every use. Always use a dry spoon.Storage ConditionStore in a cool and dry place.About the brandOne of the worlds most loved brands, NESCAFE has been making one of the worlds most loved beverages, Coffee, for over six decades. ",Dairy & Beverages > Beverages
Epigamia Milkshake Chocolate,Epigamia,40,28,Dairy & Beverages,Dairy,180 ml,"
*Actual packaging may vary from the Image

Note : Product in stock will be delivered basis availability
",Dairy & Beverages > Dairy
Chitale Fresh Paneer,Chitale,80,75,Dairy & Beverages,Dairy,200 gm,India,Dairy & Beverages > Dairy
Le Cafe Coffee Jar,Le Café,125,62,Dairy & Beverages,Beverages,50 gm,"OverviewLe Cafe Coffee is extracted from carefully selected Robusta & Arabica beans from the plantations of Tata Coffee. Each bean is carefully selected & roasted to perfection in the state of the art factories of Tata Coffee resulting in a great aroma & captivating coffee taste.IngredientsCoffee BeansStorage InstructionsStore in a Cool, Dry & Hygienic Place.",Dairy & Beverages > Beverages
Continental Xtra Coffee Jar,Continental,310,240,Dairy & Beverages,Beverages,200 gm,"OverviewFresh and rich in taste and real coffee satisfaction. Carefully chosen Coffee Beans blended with roasted Chicory to provide a strong cup of rich tastingGranulated coffee which locks the aroma and flavourFresh Coffee Aroma Is Preserved For A Rich Coffee ExperienceIngredientsCoffee Beans How to UseAdd Continental coffee powderAdd hot water/milkAdd sugar to tasteStir well and enjoy a perfect cup of coffeeCare InstructionsStore in a cool, dry, hygienic place. Any Other Must-Know InformationContinental Xtra is 100% pure, instant, soluble Coffee processed from carefully selected. plantation Arabica and washed Robusta beans blended to perfection for complete satisfaction , instantly About the BrandCCL is India's largest coffee manufacturer and exporter, having been founded in 1995. CCL has become one of the most popular coffee brands in the world, selling over 200 coffee blends to over 90 countries. With the CONTINENTAL Brand, CCL now offers the same taste, richness, and aroma as the finest instant coffee in India.",Dairy & Beverages > Beverages
Prabhat Malai Paneer,Prabhat,95,75,Dairy & Beverages,Dairy,200 gm,"Key Features : Rich in proteins and helps in building muscles. It is rich in minerals like iron, copper, magnesium, manganese, phosphorus and selenium. The health benefits of paneer are numerous. It helps prevent certain chronic diseases like diabetes, high blood pressure.Ingredients : Milk solids and citric acid.How to Use : Grill it, fry it or add it to your curry, the soft and creamy texture will add its goodness to your meal. It can be used to make paneer tikka, palak paneer, matar paneer, paneer pakora, paneer butter masala, sandwiches, etc. Care instructions : Store in a cool and dry place.",Dairy & Beverages > Dairy
Amul Malai Paneer (Frozen),Amul,82,75,Dairy & Beverages,Dairy,200 gm,"IngredientsMilk solids, citric acid.Storage InstructionStore frozen at -18&deg;C or below.How to useStore in the deep freezer of your refrigerator. Take out the required quantity to be cooked from the pack and keep it in boiling water for at least 30 minutes before cooking. Once removed, do not re-freeze. Keep remaining Amul Malai Paneer back in the freezer after folding the pack.",Dairy & Beverages > Dairy
